"Day","Items","Note","Amount"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(100)"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(100)"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","(100)"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash","(100)"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","(100)"
"89","Salary Expense","Cash Payment - Salary Expense","(27238)"
"89","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 12644","(300)"
"89","Sales E Commerce","Revenue - E-Commerce Sales","13284"
"89","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 12658","(400)"
"89","Sales E Commerce","Revenue - E-Commerce Sales","19246"
"89","Retail","Revenue - Retail Sales New York - Mouthwash","13949"
"89","Retail","Revenue - Retail Sales New York - Body Wash","13120"
"89","Retail","Revenue - Retail Sales New York - Shampoo","9894"
"89","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","6541"
"89","Retail","Revenue - Retail Sales Los Angeles - Body Wash","8194"
"89","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6876"
"89","Retail","Revenue - Retail Sales Detroit - Mouthwash","6355"
"89","Retail","Revenue - Retail Sales Detroit - Body Wash","6370"
"89","Retail","Revenue - Retail Sales Detroit - Shampoo","6264"
"89","Rental Expense","Cash Payment - RentalNew York","(10720)"
"89","Rental Expense","Cash Payment - RentalLos Angeles","(4320)"
"89","Rental Expense","Cash Payment - RentalDetroit","(4000)"
"89","Rental Expense","Cash Payment - RentalMiami","(7200)"
"88","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12352","(89600)"
"88","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12352","(320000)"
"88","Wholesales (B2B)","Revenue - B2B SO ID: 12024","842391"
"88","Human Resource Expense","Counselled","(2000)"
"88","Human Resource Expense","Counselled","(2000)"
"88","Human Resource Expense","Cash Payment - Staff Recruiting","(15000)"
"88","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(100)"
"88","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(100)"
"88","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(100)"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(100)"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(100)"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(100)"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","(100)"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash","(100)"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","(100)"
"88","Salary Expense","Cash Payment - Salary Expense","(26538)"
"88","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 12491","(600)"
"88","Sales E Commerce","Revenue - E-Commerce Sales","29038"
"88","Sales E Commerce","Revenue - E-Commerce Sales","24381"
"88","Sales E Commerce","Revenue - E-Commerce Sales","9349"
"88","Retail","Revenue - Retail Sales New York - Mouthwash","13949"
"88","Retail","Revenue - Retail Sales New York - Body Wash","13216"
"88","Retail","Revenue - Retail Sales New York - Shampoo","9486"
"88","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","6851"
"88","Retail","Revenue - Retail Sales Los Angeles - Body Wash","7480"
"88","Retail","Revenue - Retail Sales Los Angeles - Shampoo","7056"
"88","Retail","Revenue - Retail Sales Detroit - Mouthwash","6665"
"88","Retail","Revenue - Retail Sales Detroit - Body Wash","5635"
"88","Retail","Revenue - Retail Sales Detroit - Shampoo","6408"
"88","Rental Expense","Cash Payment - RentalNew York","(10720)"
"88","Rental Expense","Cash Payment - RentalLos Angeles","(4320)"
"88","Rental Expense","Cash Payment - RentalDetroit","(4000)"
"88","Rental Expense","Cash Payment - RentalMiami","(7200)"
"87","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12353","(15300)"
"87","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12353","(85000)"
"87","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12353","(19190)"
"87","Wholesales (B2B)","Revenue - B2B SO ID: 12182","436509"
"87","Wholesales (B2B)","Revenue - B2B SO ID: 12186","463454"
"87","Human Resource Expense","Counselled","(2000)"
"87","Human Resource Expense","Counselled","(2000)"
"87","Human Resource Expense","Counselled","(2000)"
"87","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(100)"
"87","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(100)"
"87","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(100)"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(100)"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(100)"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(100)"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","(100)"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash","(100)"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","(100)"
"87","Salary Expense","Cash Payment - Salary Expense","(26188)"
"87","Retail","Revenue - Retail Sales New York - Mouthwash","15120"
"87","Retail","Revenue - Retail Sales New York - Body Wash","13361"
"87","Retail","Revenue - Retail Sales New York - Shampoo","10032"
"87","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","7230"
"87","Retail","Revenue - Retail Sales Los Angeles - Body Wash","8184"
"87","Retail","Revenue - Retail Sales Los Angeles - Shampoo","7350"
"87","Retail","Revenue - Retail Sales Detroit - Mouthwash","6330"
"87","Retail","Revenue - Retail Sales Detroit - Body Wash","5780"
"87","Retail","Revenue - Retail Sales Detroit - Shampoo","6090"
"87","Rental Expense","Cash Payment - RentalNew York","(10720)"
"87","Rental Expense","Cash Payment - RentalLos Angeles","(4320)"
"87","Rental Expense","Cash Payment - RentalDetroit","(4000)"
"87","Rental Expense","Cash Payment - RentalMiami","(7200)"
"86","Wholesales (B2B)","Revenue - B2B SO ID: 12031","474710"
"86","Wholesales (B2B)","Revenue - B2B SO ID: 12017","386568"
"86","Human Resource Expense","Counselled","(2000)"
"86","Human Resource Expense","Counselled","(2000)"
"86","Human Resource Expense","Counselled","(2000)"
"86","Human Resource Expense","Counselled","(2000)"
"86","Human Resource Expense","Counselled","(2000)"
"86","Human Resource Expense","Counselled","(2000)"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12364","(734400)"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12364","(1088000)"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12364","(921120)"
"86","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(100)"
"86","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(100)"
"86","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(100)"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(100)"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(100)"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(100)"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","(100)"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash","(100)"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","(100)"
"86","Salary Expense","Cash Payment - Salary Expense","(27736)"
"86","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 12049","(400)"
"86","Sales E Commerce","Revenue - E-Commerce Sales","19973"
"86","Retail","Revenue - Retail Sales New York - Mouthwash","15764"
"86","Retail","Revenue - Retail Sales New York - Body Wash","14384"
"86","Retail","Revenue - Retail Sales New York - Shampoo","9801"
"86","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","7230"
"86","Retail","Revenue - Retail Sales Los Angeles - Body Wash","7953"
"86","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6510"
"86","Retail","Revenue - Retail Sales Detroit - Mouthwash","6450"
"86","Retail","Revenue - Retail Sales Detroit - Body Wash","6154"
"86","Retail","Revenue - Retail Sales Detroit - Shampoo","6685"
"86","Rental Expense","Cash Payment - RentalNew York","(10720)"
"86","Rental Expense","Cash Payment - RentalLos Angeles","(4320)"
"86","Rental Expense","Cash Payment - RentalDetroit","(4000)"
"86","Rental Expense","Cash Payment - RentalMiami","(7200)"
"85","Human Resource Expense","Cash Payment - Staff Recruiting","(15000)"
"85","Wholesales (B2B)","Revenue - B2B SO ID: 11506","813150"
"85","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 11506","(5000)"
"85","Wholesales (B2B)","Revenue - B2B SO ID: 11843","396760"
"85","Wholesales (B2B)","Revenue - B2B SO ID: 11848","482963"
"85","Human Resource Expense","Counselled","(2000)"
"85","Human Resource Expense","Counselled","(2000)"
"85","Human Resource Expense","Counselled","(2000)"
"85","Human Resource Expense","Counselled","(2000)"
"85","Human Resource Expense","Counselled","(2000)"
"85","Human Resource Expense","Counselled","(2000)"
"85","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(100)"
"85","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(100)"
"85","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(100)"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(100)"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(100)"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(100)"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","(100)"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash","(100)"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","(100)"
"85","Salary Expense","Cash Payment - Salary Expense","(27736)"
"85","Sales E Commerce","Revenue - E-Commerce Sales","14641"
"85","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 12025","(400)"
"85","Sales E Commerce","Revenue - E-Commerce Sales","20558"
"85","Retail","Revenue - Retail Sales New York - Mouthwash","15316"
"85","Retail","Revenue - Retail Sales New York - Body Wash","14074"
"85","Retail","Revenue - Retail Sales New York - Shampoo","10296"
"85","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","6930"
"85","Retail","Revenue - Retail Sales Los Angeles - Body Wash","7161"
"85","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6580"
"85","Retail","Revenue - Retail Sales Detroit - Mouthwash","6240"
"85","Retail","Revenue - Retail Sales Detroit - Body Wash","6120"
"85","Retail","Revenue - Retail Sales Detroit - Shampoo","6475"
"85","Services","Revenue - Service Sales Order ID: 10683","90000"
"85","Rental Expense","Cash Payment - RentalNew York","(10720)"
"85","Rental Expense","Cash Payment - RentalLos Angeles","(4320)"
"85","Rental Expense","Cash Payment - RentalDetroit","(4000)"
"85","Rental Expense","Cash Payment - RentalMiami","(7200)"
"84","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11688","(126000)"
"84","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11688","(53550)"
"84","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11688","(59850)"
"84","Wholesales (B2B)","Revenue - B2B SO ID: 11679","482976"
"84","Human Resource Expense","Counselled","(2000)"
"84","Human Resource Expense","Counselled","(2000)"
"84","Human Resource Expense","Counselled","(2000)"
"84","Human Resource Expense","Counselled","(2000)"
"84","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(100)"
"84","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(100)"
"84","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(100)"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(100)"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(100)"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(100)"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","(100)"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash","(100)"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","(100)"
"84","Salary Expense","Cash Payment - Salary Expense","(27386)"
"84","Sales E Commerce","Revenue - E-Commerce Sales","28312"
"84","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 11857","(300)"
"84","Sales E Commerce","Revenue - E-Commerce Sales","16929"
"84","Sales E Commerce","Revenue - E-Commerce Sales","10372"
"84","Retail","Revenue - Retail Sales New York - Mouthwash","15680"
"84","Retail","Revenue - Retail Sales New York - Body Wash","13640"
"84","Retail","Revenue - Retail Sales New York - Shampoo","10461"
"84","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","6930"
"84","Retail","Revenue - Retail Sales Los Angeles - Body Wash","7326"
"84","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6335"
"84","Retail","Revenue - Retail Sales Detroit - Mouthwash","6150"
"84","Retail","Revenue - Retail Sales Detroit - Body Wash","5474"
"84","Retail","Revenue - Retail Sales Detroit - Shampoo","6125"
"84","Rental Expense","Cash Payment - RentalNew York","(10720)"
"84","Rental Expense","Cash Payment - RentalLos Angeles","(4320)"
"84","Rental Expense","Cash Payment - RentalDetroit","(4000)"
"84","Rental Expense","Cash Payment - RentalMiami","(7200)"
"83","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11694","(62800)"
"83","Wholesales (B2B)","Revenue - B2B SO ID: 10996","713972"
"83","Wholesales (B2B)","Revenue - B2B SO ID: 11521","488892"
"83","Wholesales (B2B)","Revenue - B2B SO ID: 11500","329022"
"83","Wholesales (B2B)","Revenue - B2B SO ID: 11515","501468"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11793","(1056000)"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11793","(1387200)"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11793","(1240320)"
"83","Human Resource Expense","Counselled","(2000)"
"83","Human Resource Expense","Cash Payment - Staff Recruiting","(15000)"
"83","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(100)"
"83","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(100)"
"83","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(100)"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(100)"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(100)"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(100)"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","(100)"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash","(100)"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","(100)"
"83","Salary Expense","Cash Payment - Salary Expense","(27386)"
"83","Sales E Commerce","Revenue - E-Commerce Sales","11263"
"83","Retail","Revenue - Retail Sales New York - Mouthwash","14413"
"83","Retail","Revenue - Retail Sales New York - Body Wash","12800"
"83","Retail","Revenue - Retail Sales New York - Shampoo","10302"
"83","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","6789"
"83","Retail","Revenue - Retail Sales Los Angeles - Body Wash","6732"
"83","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6156"
"83","Retail","Revenue - Retail Sales Detroit - Mouthwash","6169"
"83","Retail","Revenue - Retail Sales Detroit - Body Wash","5950"
"83","Retail","Revenue - Retail Sales Detroit - Shampoo","6480"
"83","Rental Expense","Cash Payment - RentalNew York","(10720)"
"83","Rental Expense","Cash Payment - RentalLos Angeles","(4320)"
"83","Rental Expense","Cash Payment - RentalDetroit","(4000)"
"83","Rental Expense","Cash Payment - RentalMiami","(7200)"
"82","Human Resource Expense","Counselled","(2000)"
"82","Human Resource Expense","Cash Payment - Staff Recruiting","(15000)"
"82","Human Resource Expense","Counselled","(2000)"
"82","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(100)"
"82","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(100)"
"82","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(100)"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(100)"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(100)"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(100)"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","(100)"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash","(100)"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","(100)"
"82","Salary Expense","Cash Payment - Salary Expense","(27036)"
"82","Sales E Commerce","Revenue - E-Commerce Sales","11824"
"82","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 235","(15000)"
"82","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 236","(15000)"
"82","Retail","Revenue - Retail Sales New York - Mouthwash","93380"
"82","Retail","Revenue - Retail Sales New York - Body Wash","91232"
"82","Retail","Revenue - Retail Sales New York - Shampoo","66402"
"82","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","45322"
"82","Retail","Revenue - Retail Sales Los Angeles - Body Wash","43044"
"82","Retail","Revenue - Retail Sales Los Angeles - Shampoo","45252"
"82","Retail","Revenue - Retail Sales Detroit - Mouthwash","44299"
"82","Retail","Revenue - Retail Sales Detroit - Body Wash","37205"
"82","Retail","Revenue - Retail Sales Detroit - Shampoo","44676"
"82","Rental Expense","Cash Payment - RentalNew York","(10720)"
"82","Rental Expense","Cash Payment - RentalLos Angeles","(4320)"
"82","Rental Expense","Cash Payment - RentalDetroit","(4000)"
"82","Rental Expense","Cash Payment - RentalMiami","(7200)"
"81","Wholesales (B2B)","Revenue - B2B SO ID: 10066","1194410"
"81","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 10066","(9000)"
"81","Wholesales (B2B)","Revenue - B2B SO ID: 10373","503426"
"81","Wholesales (B2B)","Revenue - B2B SO ID: 10848","750200"
"81","Human Resource Expense","Counselled","(2000)"
"81","Human Resource Expense","Counselled","(2000)"
"81","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11508","(192000)"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11517","(126000)"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11517","(142800)"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11517","(159600)"
"81","Human Resource Expense","Counselled","(2000)"
"81","Human Resource Expense","Counselled","(2000)"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11535","(75750)"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11535","(85850)"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11535","(95950)"
"81","Human Resource Expense","Counselled","(2000)"
"81","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(100)"
"81","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(100)"
"81","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(100)"
"81","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(100)"
"81","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(100)"
"81","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(100)"
"81","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","(100)"
"81","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash","(100)"
"81","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","(100)"
"81","Salary Expense","Cash Payment - Salary Expense","(27577)"
"81","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 11184","(400)"
"81","Sales E Commerce","Revenue - E-Commerce Sales","19207"
"81","Sales E Commerce","Revenue - E-Commerce Sales","16238"
"81","Retail","Revenue - Retail Sales New York - Mouthwash","98542"
"81","Retail","Revenue - Retail Sales New York - Body Wash","91392"
"81","Retail","Revenue - Retail Sales New York - Shampoo","71264"
"81","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","31403"
"81","Retail","Revenue - Retail Sales Los Angeles - Body Wash","34442"
"81","Retail","Revenue - Retail Sales Los Angeles - Shampoo","31104"
"81","Retail","Revenue - Retail Sales Detroit - Mouthwash","42594"
"81","Retail","Revenue - Retail Sales Detroit - Body Wash","38710"
"81","Retail","Revenue - Retail Sales Detroit - Shampoo","44244"
"81","Rental Expense","Cash Payment - RentalNew York","(10720)"
"81","Rental Expense","Cash Payment - RentalLos Angeles","(4320)"
"81","Rental Expense","Cash Payment - RentalDetroit","(4000)"
"81","Rental Expense","Cash Payment - RentalMiami","(7200)"
"80","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10867","(45000)"
"80","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10867","(51000)"
"80","Human Resource Expense","Counselled","(2000)"
"80","Human Resource Expense","Counselled","(2000)"
"80","Human Resource Expense","Counselled","(2000)"
"80","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(100)"
"80","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(100)"
"80","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(100)"
"80","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(100)"
"80","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(100)"
"80","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(100)"
"80","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","(100)"
"80","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash","(100)"
"80","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","(100)"
"80","Salary Expense","Cash Payment - Salary Expense","(28093)"
"80","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 10855","(400)"
"80","Sales E Commerce","Revenue - E-Commerce Sales","17647"
"80","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 10992","(200)"
"80","Sales E Commerce","Revenue - E-Commerce Sales","10271"
"80","Sales E Commerce","Revenue - E-Commerce Sales","23236"
"80","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 11144","(500)"
"80","Sales E Commerce","Revenue - E-Commerce Sales","26840"
"80","Sales E Commerce","Revenue - E-Commerce Sales","15422"
"80","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 11163","(300)"
"80","Sales E Commerce","Revenue - E-Commerce Sales","14524"
"80","Retail","Revenue - Retail Sales New York - Mouthwash","95555"
"80","Retail","Revenue - Retail Sales New York - Body Wash","89600"
"80","Retail","Revenue - Retail Sales New York - Shampoo","66538"
"80","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","57815"
"80","Retail","Revenue - Retail Sales Los Angeles - Body Wash","63274"
"80","Retail","Revenue - Retail Sales Los Angeles - Shampoo","57888"
"80","Retail","Revenue - Retail Sales Detroit - Mouthwash","45198"
"80","Retail","Revenue - Retail Sales Detroit - Body Wash","37170"
"80","Retail","Revenue - Retail Sales Detroit - Shampoo","42084"
"80","Rental Expense","Cash Payment - RentalNew York","(10720)"
"80","Rental Expense","Cash Payment - RentalLos Angeles","(4320)"
"80","Rental Expense","Cash Payment - RentalDetroit","(4000)"
"80","Rental Expense","Cash Payment - RentalMiami","(7200)"
"79","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10842","(1200000)"
"79","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10842","(1360000)"
"79","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10842","(1520000)"
"79","Human Resource Expense","Counselled","(2000)"
"79","Human Resource Expense","Counselled","(2000)"
"79","Human Resource Expense","Counselled","(2000)"
"79","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11162","(45000)"
"79","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11162","(51000)"
"79","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11162","(57000)"
"79","Human Resource Expense","Counselled","(2000)"
"79","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(100)"
"79","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(100)"
"79","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(100)"
"79","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(100)"
"79","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(100)"
"79","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(100)"
"79","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","(100)"
"79","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash","(100)"
"79","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","(100)"
"79","Salary Expense","Cash Payment - Salary Expense","(26843)"
"79","Sales E Commerce","Revenue - E-Commerce Sales","16443"
